,course1,course2,corr,P-value,#students
2022,ComputerandInfoScience2000,Theology1000,0.272553785,4.51E-09,448
2023,ComputerandInfoScience2000,Theology3200,0.388262162,0.000240894,85
2024,ComputerandInfoScience2000,VisualArts1101,0.307864449,0.002990602,91
2025,ComputerandInfoScience2010,BiologicalSciences1403,0.404638459,0.005282994,46
2026,ComputerandInfoScience2010,BiologicalSciences1404,0.149993599,0.412567031,32
2027,ComputerandInfoScience2010,BiologicalSciences1413,0.463619152,0.001174477,46
2028,ComputerandInfoScience2010,Chemistry1321,0.468322991,1.99E-05,76
2029,ComputerandInfoScience2010,Chemistry1322,0.490469277,0.000124346,56
2030,ComputerandInfoScience2010,Chemistry1331,0.478749741,2.10E-05,72
2031,ComputerandInfoScience2010,Chemistry1332,0.511364692,5.63E-05,56
2032,ComputerandInfoScience2010,ComputerandInfoScience1100,0.443866016,2.82E-08,143
2033,ComputerandInfoScience2010,ComputerandInfoScience1400,0.407186289,9.68E-09,184
2035,ComputerandInfoScience2010,ComputerandInfoScience1600,0.569482436,1.24E-46,527
2036,ComputerandInfoScience2010,ComputerandInfoScience1610,0.576945424,5.73E-43,469
2039,ComputerandInfoScience2010,ComputerandInfoScience2000,0.955090728,0,676
2040,ComputerandInfoScience2010,ComputerandInfoScience2010,1,0,683
2041,ComputerandInfoScience2010,ComputerandInfoScience2011,0.359572301,0.109388374,21
2042,ComputerandInfoScience2010,ComputerandInfoScience2100,0.542481069,3.17E-10,116
2043,ComputerandInfoScience2010,ComputerandInfoScience2110,0.496494045,1.35E-06,85
2044,ComputerandInfoScience2010,ComputerandInfoScience2200,0.628559734,1.10E-37,330
2046,ComputerandInfoScience2010,ComputerandInfoScience2350,0.492884705,0.000238333,51
2047,ComputerandInfoScience2010,ComputerandInfoScience2500,0.39898516,0.001199173,63
2048,ComputerandInfoScience2010,ComputerandInfoScience2540,0.303390735,0.000313494,137
2050,ComputerandInfoScience2010,ComputerandInfoScience3001,0.253509788,0.18452876,29
2053,ComputerandInfoScience2010,ComputerandInfoScience3060,0.383437907,0.020973775,36
2054,ComputerandInfoScience2010,ComputerandInfoScience3130,0.545016385,3.22E-06,64
2056,ComputerandInfoScience2010,ComputerandInfoScience3300,0.498079609,3.25E-07,94
2057,ComputerandInfoScience2010,ComputerandInfoScience3400,0.291863542,0.014960012,69
2058,ComputerandInfoScience2010,ComputerandInfoScience3500,0.491000901,4.09E-15,226
2059,ComputerandInfoScience2010,ComputerandInfoScience3580,0.324048152,0.061533959,34
2060,ComputerandInfoScience2010,ComputerandInfoScience3593,0.493601396,2.17E-16,244
2061,ComputerandInfoScience2010,ComputerandInfoScience3595,0.5411981,5.39E-17,205
2064,ComputerandInfoScience2010,ComputerandInfoScience3850,0.425480014,0.001663693,52
2065,ComputerandInfoScience2010,ComputerandInfoScience4001,0.239862298,0.064902361,60
2067,ComputerandInfoScience2010,ComputerandInfoScience4020,0.473537966,0.000391599,52
2068,ComputerandInfoScience2010,ComputerandInfoScience4080,0.520334005,7.48E-15,194
2069,ComputerandInfoScience2010,ComputerandInfoScience4090,0.411628992,2.53E-10,218
2070,ComputerandInfoScience2010,ComputerandInfoScience4400,0.490407457,0.000626526,45
2073,ComputerandInfoScience2010,ComputerandInfoScience4615,0.504187816,1.44E-11,158
2074,ComputerandInfoScience2010,ComputerandInfoScience4631,0.515465594,1.90E-15,207
2075,ComputerandInfoScience2010,ComputerandInfoScience4650,0.400004093,0.000725795,68
2077,ComputerandInfoScience2010,ComputerandInfoScience4700,0.559016924,4.91E-07,70
2080,ComputerandInfoScience2010,ComputerandInfoScience4900,0.638705108,0.001377441,22
2082,ComputerandInfoScience2010,Economics2140,0.288693765,0.000906791,129
2083,ComputerandInfoScience2010,English1101,0.221798871,0.029867969,96
2084,ComputerandInfoScience2010,English1102,0.329376607,1.41E-11,400
2085,ComputerandInfoScience2010,History1000,0.282076418,0.004465203,100
2086,ComputerandInfoScience2010,Mathematics1100,0.340453648,0.002288972,78
2087,ComputerandInfoScience2010,Music1100,0.516312605,7.19E-12,154
2088,ComputerandInfoScience2010,Philosophy1000,0.416012225,3.56E-19,424
2089,ComputerandInfoScience2010,Physics1201,0.393808014,1.24E-06,142
2091,ComputerandInfoScience2010,Physics1511,0.109352631,0.435710137,53
2096,ComputerandInfoScience2010,Psychology1100,0.325057117,0.005016257,73
2097,ComputerandInfoScience2010,Psychology1200,0.037705213,0.846030256,29
2110,ComputerandInfoScience2010,Psychology2800,-0.071251743,0.765314423,20
2156,ComputerandInfoScience2010,Theatre1100,0.349234214,1.36E-05,148
2157,ComputerandInfoScience2010,Theology1000,0.262843118,3.16E-08,430
2158,ComputerandInfoScience2010,Theology3200,0.36188556,0.000972332,80
2159,ComputerandInfoScience2010,VisualArts1101,0.350088695,0.000770618,89
2170,ComputerandInfoScience2011,ComputerandInfoScience1600,0.346429114,0.065622287,29
2171,ComputerandInfoScience2011,ComputerandInfoScience1610,0.467923497,0.018332512,25
2174,ComputerandInfoScience2011,ComputerandInfoScience2000,0.414679918,0.054996091,22
2175,ComputerandInfoScience2011,ComputerandInfoScience2010,0.359572301,0.109388374,21
2176,ComputerandInfoScience2011,ComputerandInfoScience2011,1,0,36
2219,ComputerandInfoScience2011,English1102,0.190965931,0.350051719,26
2223,ComputerandInfoScience2011,Philosophy1000,0.204150323,0.31713764,26
2292,ComputerandInfoScience2011,Theology1000,0.093496204,0.642754874,27
2302,ComputerandInfoScience2100,ComputerandInfoScience1100,0.480502694,0.005376963,32
2303,ComputerandInfoScience2100,ComputerandInfoScience1400,0.570391066,3.82E-07,68
2305,ComputerandInfoScience2100,ComputerandInfoScience1600,0.436331405,1.69E-06,111
2306,ComputerandInfoScience2100,ComputerandInfoScience1610,0.57522152,5.83E-10,98
2309,ComputerandInfoScience2100,ComputerandInfoScience2000,0.568615367,3.77E-12,126
2310,ComputerandInfoScience2100,ComputerandInfoScience2010,0.542481069,3.17E-10,116
2312,ComputerandInfoScience2100,ComputerandInfoScience2100,1,0,179
2313,ComputerandInfoScience2100,ComputerandInfoScience2110,0.961135596,6.78E-78,138
2314,ComputerandInfoScience2100,ComputerandInfoScience2200,0.352301417,0.000462972,95
2318,ComputerandInfoScience2100,ComputerandInfoScience2540,0.119535722,0.507596227,33
2324,ComputerandInfoScience2100,ComputerandInfoScience3130,0.499437927,0.021159308,21
2326,ComputerandInfoScience2100,ComputerandInfoScience3300,0.531085726,0.00303365,29
2327,ComputerandInfoScience2100,ComputerandInfoScience3400,-0.035624149,0.862832989,26
2328,ComputerandInfoScience2100,ComputerandInfoScience3500,0.30563369,0.024610374,54
2329,ComputerandInfoScience2100,ComputerandInfoScience3580,0.046417959,0.82561723,25
2330,ComputerandInfoScience2100,ComputerandInfoScience3593,0.381618967,0.001322632,68
2331,ComputerandInfoScience2100,ComputerandInfoScience3595,0.371418914,0.025725775,36
2338,ComputerandInfoScience2100,ComputerandInfoScience4080,0.372044896,0.010021075,47
2339,ComputerandInfoScience2100,ComputerandInfoScience4090,0.463569183,0.001031904,47
2343,ComputerandInfoScience2100,ComputerandInfoScience4615,0.142353847,0.469916147,28
2344,ComputerandInfoScience2100,ComputerandInfoScience4631,0.610835156,0.001521619,24
2353,ComputerandInfoScience2100,English1101,0.25872493,0.183718092,28
2354,ComputerandInfoScience2100,English1102,0.452481256,4.15E-06,95
2355,ComputerandInfoScience2100,History1000,0.6526931,0.000735813,23
2357,ComputerandInfoScience2100,Music1100,0.555607187,0.000197874,40
2358,ComputerandInfoScience2100,Philosophy1000,0.310402291,0.000865942,112
2359,ComputerandInfoScience2100,Physics1201,0.63190835,9.37E-06,41
2426,ComputerandInfoScience2100,Theatre1100,-0.090928206,0.665550644,25
2427,ComputerandInfoScience2100,Theology1000,0.376522102,4.64E-05,111
2437,ComputerandInfoScience2110,ComputerandInfoScience1100,0.643709977,0.001227257,22
2438,ComputerandInfoScience2110,ComputerandInfoScience1400,0.598019157,9.04E-06,47
2440,ComputerandInfoScience2110,ComputerandInfoScience1600,0.296908141,0.005791757,85
2441,ComputerandInfoScience2110,ComputerandInfoScience1610,0.498055769,8.52E-06,72
2444,ComputerandInfoScience2110,ComputerandInfoScience2000,0.525640991,4.51E-08,95
2445,ComputerandInfoScience2110,ComputerandInfoScience2010,0.496494045,1.35E-06,85
2447,ComputerandInfoScience2110,ComputerandInfoScience2100,0.961135596,6.78E-78,138
2448,ComputerandInfoScience2110,ComputerandInfoScience2110,1,0,139
2449,ComputerandInfoScience2110,ComputerandInfoScience2200,0.362173177,0.000766802,83
2453,ComputerandInfoScience2110,ComputerandInfoScience2540,0.095954083,0.607613783,31
2461,ComputerandInfoScience2110,ComputerandInfoScience3300,0.527160771,0.004721837,27
2462,ComputerandInfoScience2110,ComputerandInfoScience3400,-0.067459975,0.748667723,25
2463,ComputerandInfoScience2110,ComputerandInfoScience3500,0.300129265,0.040394071,47
2464,ComputerandInfoScience2110,ComputerandInfoScience3580,-0.082091667,0.723523377,21
2465,ComputerandInfoScience2110,ComputerandInfoScience3593,0.340742731,0.006727773,62
2466,ComputerandInfoScience2110,ComputerandInfoScience3595,0.344073139,0.046312201,34
2473,ComputerandInfoScience2110,ComputerandInfoScience4080,0.332467599,0.022413483,47
2474,ComputerandInfoScience2110,ComputerandInfoScience4090,0.44211108,0.002096244,46
2478,ComputerandInfoScience2110,ComputerandInfoScience4615,0.048258606,0.822813999,24
2479,ComputerandInfoScience2110,ComputerandInfoScience4631,0.665511066,0.000528976,23
2488,ComputerandInfoScience2110,English1101,0.160253642,0.487737547,21
2489,ComputerandInfoScience2110,English1102,0.466262834,3.22E-05,73
2492,ComputerandInfoScience2110,Music1100,0.413254148,0.018728662,32
2493,ComputerandInfoScience2110,Philosophy1000,0.295276423,0.006728162,83
2494,ComputerandInfoScience2110,Physics1201,0.50411066,0.006233169,28
2561,ComputerandInfoScience2110,Theatre1100,-0.014718147,0.950892272,20
2562,ComputerandInfoScience2110,Theology1000,0.363789317,0.000780619,82
2565,ComputerandInfoScience2200,BiologicalSciences1403,0.455050274,0.033341874,22
2567,ComputerandInfoScience2200,BiologicalSciences1413,0.303211221,0.170150724,22
2568,ComputerandInfoScience2200,Chemistry1321,0.285723447,0.036226103,54
2569,ComputerandInfoScience2200,Chemistry1322,0.399498052,0.031790016,29
2570,ComputerandInfoScience2200,Chemistry1331,0.33487795,0.022913747,46
2571,ComputerandInfoScience2200,Chemistry1332,0.515271303,0.004229511,29
2572,ComputerandInfoScience2200,ComputerandInfoScience1100,0.285030632,0.008192506,85
2573,ComputerandInfoScience2200,ComputerandInfoScience1400,0.475244089,8.01E-08,115
2575,ComputerandInfoScience2200,ComputerandInfoScience1600,0.403657324,9.44E-13,289
2576,ComputerandInfoScience2200,ComputerandInfoScience1610,0.417025895,6.76E-12,249
2579,ComputerandInfoScience2200,ComputerandInfoScience2000,0.551112012,4.07E-29,349
2580,ComputerandInfoScience2200,ComputerandInfoScience2010,0.628559734,1.10E-37,330
2582,ComputerandInfoScience2200,ComputerandInfoScience2100,0.352301417,0.000462972,95
2583,ComputerandInfoScience2200,ComputerandInfoScience2110,0.362173177,0.000766802,83
2584,ComputerandInfoScience2200,ComputerandInfoScience2200,1,0,432
2586,ComputerandInfoScience2200,ComputerandInfoScience2350,0.269058329,0.097660552,39
2587,ComputerandInfoScience2200,ComputerandInfoScience2500,0.561149943,0.0081295,21
2588,ComputerandInfoScience2200,ComputerandInfoScience2540,0.413280457,1.18E-05,105
2590,ComputerandInfoScience2200,ComputerandInfoScience3001,0.29054184,0.126266414,29
2593,ComputerandInfoScience2200,ComputerandInfoScience3060,0.606253442,0.000490438,29
2594,ComputerandInfoScience2200,ComputerandInfoScience3130,0.49351564,9.59E-05,57
2596,ComputerandInfoScience2200,ComputerandInfoScience3300,0.548024396,6.27E-07,72
2597,ComputerandInfoScience2200,ComputerandInfoScience3400,0.544001662,9.43E-07,71
2598,ComputerandInfoScience2200,ComputerandInfoScience3500,0.445687431,2.13E-11,205
2599,ComputerandInfoScience2200,ComputerandInfoScience3580,0.181136016,0.356296553,28
2600,ComputerandInfoScience2200,ComputerandInfoScience3593,0.609682839,3.29E-25,234
2601,ComputerandInfoScience2200,ComputerandInfoScience3595,0.576120812,2.55E-20,214
2604,ComputerandInfoScience2200,ComputerandInfoScience3850,0.236287434,0.192919242,32
2605,ComputerandInfoScience2200,ComputerandInfoScience4001,0.473611001,0.001015886,45
2607,ComputerandInfoScience2200,ComputerandInfoScience4020,0.066911295,0.735138398,28
2608,ComputerandInfoScience2200,ComputerandInfoScience4080,0.547942047,8.96E-18,209
2609,ComputerandInfoScience2200,ComputerandInfoScience4090,0.496300284,6.82E-16,233
2610,ComputerandInfoScience2200,ComputerandInfoScience4400,0.53720243,0.001522609,32
2613,ComputerandInfoScience2200,ComputerandInfoScience4615,0.462160067,4.30E-09,146
2614,ComputerandInfoScience2200,ComputerandInfoScience4631,0.517867936,2.52E-13,174
2615,ComputerandInfoScience2200,ComputerandInfoScience4650,0.489389333,9.68E-05,58
2617,ComputerandInfoScience2200,ComputerandInfoScience4700,0.5945807,1.19E-08,77
2619,ComputerandInfoScience2200,ComputerandInfoScience4800,0.711915972,0.000430192,20
2620,ComputerandInfoScience2200,ComputerandInfoScience4900,0.501420203,0.01743397,22
2622,ComputerandInfoScience2200,Economics2140,0.340752798,0.006726045,62
2623,ComputerandInfoScience2200,English1101,0.298811503,0.022698536,58
2624,ComputerandInfoScience2200,English1102,0.371768443,3.25E-09,238
2625,ComputerandInfoScience2200,History1000,0.468824128,6.29E-05,67
2626,ComputerandInfoScience2200,Mathematics1100,0.231163671,0.102657823,51
2627,ComputerandInfoScience2200,Music1100,0.508706585,4.10E-08,103
2628,ComputerandInfoScience2200,Philosophy1000,0.447984821,6.10E-14,254
2629,ComputerandInfoScience2200,Physics1201,0.420269013,1.49E-05,99
2631,ComputerandInfoScience2200,Physics1511,0.619728243,1.56E-05,41
2636,ComputerandInfoScience2200,Psychology1100,0.41140161,0.011416113,37
2637,ComputerandInfoScience2200,Psychology1200,0.181030477,0.43227225,21
2696,ComputerandInfoScience2200,Theatre1100,0.434485522,2.92E-05,86
2697,ComputerandInfoScience2200,Theology1000,0.214853241,0.000485666,260
2698,ComputerandInfoScience2200,Theology3200,0.562738907,2.87E-06,60
2699,ComputerandInfoScience2200,VisualArts1101,0.351618449,0.00912771,54
2710,ComputerandInfoScience2201,ComputerandInfoScience1600,0.34008907,0.076602727,28
2711,ComputerandInfoScience2201,ComputerandInfoScience1610,0.345863103,0.08350513,26
2720,ComputerandInfoScience2201,ComputerandInfoScience2201,1,0,50
2722,ComputerandInfoScience2201,ComputerandInfoScience2500,0.404074816,0.077233901,20
2733,ComputerandInfoScience2201,ComputerandInfoScience3500,0.379191796,0.02953219,33
2742,ComputerandInfoScience2201,ComputerandInfoScience4020,0.409626914,0.058329695,22
2748,ComputerandInfoScience2201,ComputerandInfoScience4615,0.359945084,0.043017355,32
2749,ComputerandInfoScience2201,ComputerandInfoScience4631,0.657558739,0.000650334,23
2832,ComputerandInfoScience2201,Theology1000,0.188608592,0.412914341,21
2842,ComputerandInfoScience2350,ComputerandInfoScience1100,0.574228581,0.002683842,25
2843,ComputerandInfoScience2350,ComputerandInfoScience1400,0.397607659,0.0825517,20
2845,ComputerandInfoScience2350,ComputerandInfoScience1600,0.449996664,0.000118072,68
2846,ComputerandInfoScience2350,ComputerandInfoScience1610,0.582391235,1.62E-06,58
2849,ComputerandInfoScience2350,ComputerandInfoScience2000,0.430536776,0.001155405,54
2850,ComputerandInfoScience2350,ComputerandInfoScience2010,0.492884705,0.000238333,51
2854,ComputerandInfoScience2350,ComputerandInfoScience2200,0.269058329,0.097660552,39
2856,ComputerandInfoScience2350,ComputerandInfoScience2350,1,0,127
2857,ComputerandInfoScience2350,ComputerandInfoScience2500,0.435961718,0.033203869,24
2858,ComputerandInfoScience2350,ComputerandInfoScience2540,0.411621183,0.056996023,22
2868,ComputerandInfoScience2350,ComputerandInfoScience3500,0.50362604,0.000492168,44
2870,ComputerandInfoScience2350,ComputerandInfoScience3593,0.489445752,0.002844784,35
2871,ComputerandInfoScience2350,ComputerandInfoScience3595,0.243881673,0.240065612,25
2877,ComputerandInfoScience2350,ComputerandInfoScience4020,0.789647436,9.74E-07,27
2878,ComputerandInfoScience2350,ComputerandInfoScience4080,0.413067133,0.028909926,28
2879,ComputerandInfoScience2350,ComputerandInfoScience4090,0.418087292,0.026830491,28
2883,ComputerandInfoScience2350,ComputerandInfoScience4615,0.56975723,0.000538094,33
2884,ComputerandInfoScience2350,ComputerandInfoScience4631,0.669884324,3.76E-05,31
2894,ComputerandInfoScience2350,English1102,0.128785783,0.377826266,49
2895,ComputerandInfoScience2350,History1000,0.144340879,0.521607464,22
2897,ComputerandInfoScience2350,Music1100,0.105586549,0.607707784,26
2898,ComputerandInfoScience2350,Philosophy1000,0.153829764,0.25765711,56
2899,ComputerandInfoScience2350,Physics1201,-0.056858113,0.787195519,25
2967,ComputerandInfoScience2350,Theology1000,0.004506811,0.973702205,56
2970,ComputerandInfoScience2500,BiologicalSciences1403,0.368505378,0.00662636,53
2971,ComputerandInfoScience2500,BiologicalSciences1404,0.451315945,0.001134739,49
2972,ComputerandInfoScience2500,BiologicalSciences1413,0.379679956,0.005046673,53
2973,ComputerandInfoScience2500,Chemistry1321,0.243556017,0.09528568,48
2974,ComputerandInfoScience2500,Chemistry1322,0.266514621,0.067090089,48
2975,ComputerandInfoScience2500,Chemistry1331,0.335819816,0.014936856,52
2976,ComputerandInfoScience2500,Chemistry1332,0.269789826,0.058125373,50
2977,ComputerandInfoScience2500,ComputerandInfoScience1100,0.324423103,0.009485618,63
2978,ComputerandInfoScience2500,ComputerandInfoScience1400,0.502277682,0.004677927,30
2980,ComputerandInfoScience2500,ComputerandInfoScience1600,0.359996305,0.000202094,102
2981,ComputerandInfoScience2500,ComputerandInfoScience1610,0.471333236,1.25E-06,96
2984,ComputerandInfoScience2500,ComputerandInfoScience2000,0.412043248,0.000716958,64
2985,ComputerandInfoScience2500,ComputerandInfoScience2010,0.39898516,0.001199173,63
2989,ComputerandInfoScience2500,ComputerandInfoScience2200,0.561149943,0.0081295,21
2990,ComputerandInfoScience2500,ComputerandInfoScience2201,0.404074816,0.077233901,20
2991,ComputerandInfoScience2500,ComputerandInfoScience2350,0.435961718,0.033203869,24
2992,ComputerandInfoScience2500,ComputerandInfoScience2500,1,0,256
2993,ComputerandInfoScience2500,ComputerandInfoScience2540,0.425937376,0.012016965,34
3000,ComputerandInfoScience2500,ComputerandInfoScience3250,0.548956317,0.000137934,43
3001,ComputerandInfoScience2500,ComputerandInfoScience3300,0.513549657,0.003128655,31
3003,ComputerandInfoScience2500,ComputerandInfoScience3500,0.336609107,0.004101579,71
3005,ComputerandInfoScience2500,ComputerandInfoScience3593,0.21703837,0.196937693,37
3006,ComputerandInfoScience2500,ComputerandInfoScience3595,0.259210877,0.244066719,22
3009,ComputerandInfoScience2500,ComputerandInfoScience3850,0.471594784,0.001074812,45
3010,ComputerandInfoScience2500,ComputerandInfoScience4001,-0.005281488,0.980459583,24
3012,ComputerandInfoScience2500,ComputerandInfoScience4020,0.505347638,3.82E-05,60
3014,ComputerandInfoScience2500,ComputerandInfoScience4090,0.406367999,0.048782133,24
3018,ComputerandInfoScience2500,ComputerandInfoScience4615,0.301755118,0.043956847,45
3019,ComputerandInfoScience2500,ComputerandInfoScience4631,0.431847127,0.00013625,73
3020,ComputerandInfoScience2500,ComputerandInfoScience4650,0.403163632,0.03011367,29
3027,ComputerandInfoScience2500,Economics2140,0.239525722,0.075403747,56
3028,ComputerandInfoScience2500,English1101,0.188055751,0.272052048,36
3029,ComputerandInfoScience2500,English1102,0.278219877,0.000418477,157
3030,ComputerandInfoScience2500,History1000,0.190561734,0.175993887,52
3031,ComputerandInfoScience2500,Mathematics1100,0.43332207,0.000679476,58
3032,ComputerandInfoScience2500,Music1100,0.228493382,0.096542137,54
3033,ComputerandInfoScience2500,Philosophy1000,0.357201387,2.86E-06,163
3034,ComputerandInfoScience2500,Physics1201,0.005286458,0.970329737,52
3035,ComputerandInfoScience2500,Physics1501,0.540872043,0.006351902,24
3036,ComputerandInfoScience2500,Physics1511,0.722453243,0.000321111,20
3041,ComputerandInfoScience2500,Psychology1100,0.299825013,0.014452937,66
3042,ComputerandInfoScience2500,Psychology1200,0.504971397,0.001976077,35
3043,ComputerandInfoScience2500,Psychology2000,0.362465876,0.021531915,40
3058,ComputerandInfoScience2500,Psychology3110,0.448071439,0.006134338,36
3101,ComputerandInfoScience2500,Theatre1100,0.189343518,0.116444194,70
3102,ComputerandInfoScience2500,Theology1000,0.291717401,0.000190816,159
3103,ComputerandInfoScience2500,Theology3200,0.530922138,0.00365115,28
3104,ComputerandInfoScience2500,VisualArts1101,0.309761562,0.045900856,42
3105,ComputerandInfoScience2540,BiologicalSciences1403,0.202078174,0.30243136,28
3106,ComputerandInfoScience2540,BiologicalSciences1404,0.082907026,0.700132435,24
3107,ComputerandInfoScience2540,BiologicalSciences1413,0.374336302,0.045435498,29
3108,ComputerandInfoScience2540,Chemistry1321,0.014438609,0.93143724,38
3109,ComputerandInfoScience2540,Chemistry1322,0.325086584,0.085299817,29
3110,ComputerandInfoScience2540,Chemistry1331,-0.023240857,0.886806561,40
3111,ComputerandInfoScience2540,Chemistry1332,0.240735846,0.208400414,29
3112,ComputerandInfoScience2540,ComputerandInfoScience1100,0.373165286,0.000142283,99
3113,ComputerandInfoScience2540,ComputerandInfoScience1400,0.029777589,0.802522358,73
3115,ComputerandInfoScience2540,ComputerandInfoScience1600,0.3678916,4.71E-07,177
3116,ComputerandInfoScience2540,ComputerandInfoScience1610,0.371884556,2.05E-06,154
3119,ComputerandInfoScience2540,ComputerandInfoScience2000,0.236135719,0.004667414,142
3120,ComputerandInfoScience2540,ComputerandInfoScience2010,0.303390735,0.000313494,137
3122,ComputerandInfoScience2540,ComputerandInfoScience2100,0.119535722,0.507596227,33
3123,ComputerandInfoScience2540,ComputerandInfoScience2110,0.095954083,0.607613783,31
3124,ComputerandInfoScience2540,ComputerandInfoScience2200,0.413280457,1.18E-05,105
3126,ComputerandInfoScience2540,ComputerandInfoScience2350,0.411621183,0.056996023,22
3127,ComputerandInfoScience2540,ComputerandInfoScience2500,0.425937376,0.012016965,34
3128,ComputerandInfoScience2540,ComputerandInfoScience2540,1,0,359
3130,ComputerandInfoScience2540,ComputerandInfoScience3001,0.030994452,0.896790479,20
3136,ComputerandInfoScience2540,ComputerandInfoScience3300,0.456820401,0.000401546,56
3137,ComputerandInfoScience2540,ComputerandInfoScience3400,0.218194941,0.188162274,38
3138,ComputerandInfoScience2540,ComputerandInfoScience3500,0.324336921,0.000339591,118
3140,ComputerandInfoScience2540,ComputerandInfoScience3593,0.130427473,0.195869468,100
3141,ComputerandInfoScience2540,ComputerandInfoScience3595,0.226429567,0.027349824,95
3144,ComputerandInfoScience2540,ComputerandInfoScience3850,0.586598996,3.57E-05,43
3145,ComputerandInfoScience2540,ComputerandInfoScience4001,0.618329772,9.93E-06,43
3147,ComputerandInfoScience2540,ComputerandInfoScience4020,0.164124129,0.338820361,36
3148,ComputerandInfoScience2540,ComputerandInfoScience4080,0.194781642,0.075815067,84
3149,ComputerandInfoScience2540,ComputerandInfoScience4090,0.157793866,0.116895121,100
3153,ComputerandInfoScience2540,ComputerandInfoScience4615,0.260541153,0.018816202,81
3154,ComputerandInfoScience2540,ComputerandInfoScience4631,0.244003481,0.012555554,104
3155,ComputerandInfoScience2540,ComputerandInfoScience4650,0.337030373,0.033450491,40
3157,ComputerandInfoScience2540,ComputerandInfoScience4700,0.08607768,0.602343015,39
3162,ComputerandInfoScience2540,Economics2140,0.323743199,0.010263855,62
3163,ComputerandInfoScience2540,English1101,0.143173655,0.26693923,62
3164,ComputerandInfoScience2540,English1102,0.209859177,0.001212016,235
3165,ComputerandInfoScience2540,History1000,0.340546125,0.006761609,62
3166,ComputerandInfoScience2540,Mathematics1100,0.257321177,0.011822499,95
3167,ComputerandInfoScience2540,Music1100,0.452407864,1.38E-05,85
3168,ComputerandInfoScience2540,Philosophy1000,0.322153752,5.95E-07,230
3169,ComputerandInfoScience2540,Physics1201,0.100216466,0.405664992,71
3171,ComputerandInfoScience2540,Physics1511,-0.118298524,0.573302657,25
3176,ComputerandInfoScience2540,Psychology1100,0.360289277,0.024254975,39
3177,ComputerandInfoScience2540,Psychology1200,-0.074637856,0.717076588,26
3236,ComputerandInfoScience2540,Theatre1100,0.218295107,0.061695403,74
3237,ComputerandInfoScience2540,Theology1000,0.408420466,8.04E-11,234
3238,ComputerandInfoScience2540,Theology3200,0.535468304,3.60E-05,53
3239,ComputerandInfoScience2540,VisualArts1101,0.419610458,0.005093535,43
3264,ComputerandInfoScience2850,ComputerandInfoScience2850,1,0,29
3273,ComputerandInfoScience2850,ComputerandInfoScience3500,0.653760044,0.001769624,20
3382,ComputerandInfoScience3001,ComputerandInfoScience1100,0.460851133,0.006953075,33
3385,ComputerandInfoScience3001,ComputerandInfoScience1600,0.242791547,0.121317287,42
3386,ComputerandInfoScience3001,ComputerandInfoScience1610,0.221440943,0.17548317,39
3389,ComputerandInfoScience3001,ComputerandInfoScience2000,0.230450597,0.229093956,29
3390,ComputerandInfoScience3001,ComputerandInfoScience2010,0.253509788,0.18452876,29
3394,ComputerandInfoScience3001,ComputerandInfoScience2200,0.29054184,0.126266414,29
3398,ComputerandInfoScience3001,ComputerandInfoScience2540,0.030994452,0.896790479,20
3400,ComputerandInfoScience3001,ComputerandInfoScience3001,1,0,111
3408,ComputerandInfoScience3001,ComputerandInfoScience3500,0.438630816,0.012029591,32
3410,ComputerandInfoScience3001,ComputerandInfoScience3593,0.337718442,0.078812202,28
3411,ComputerandInfoScience3001,ComputerandInfoScience3595,0.235251179,0.257628731,25
3418,ComputerandInfoScience3001,ComputerandInfoScience4080,0.395096304,0.076290363,21
3423,ComputerandInfoScience3001,ComputerandInfoScience4615,0.291188163,0.148951842,26
3424,ComputerandInfoScience3001,ComputerandInfoScience4631,0.296859654,0.132666237,27
3432,ComputerandInfoScience3001,Economics2140,0.370023593,0.090070062,22
3434,ComputerandInfoScience3001,English1102,0.464495146,0.000402762,54
3436,ComputerandInfoScience3001,Mathematics1100,-0.082110655,0.683891025,27
3437,ComputerandInfoScience3001,Music1100,0.395864317,0.033525458,29
3438,ComputerandInfoScience3001,Philosophy1000,0.211659016,0.110715341,58
3439,ComputerandInfoScience3001,Physics1201,0.166026437,0.427684354,25
3506,ComputerandInfoScience3001,Theatre1100,0.083354951,0.634035086,35
3507,ComputerandInfoScience3001,Theology1000,0.147346417,0.22011165,71
3672,ComputerandInfoScience3020,ComputerandInfoScience3020,1,0,22
3790,ComputerandInfoScience3060,ComputerandInfoScience1600,-0.002455976,0.989356263,32
3791,ComputerandInfoScience3060,ComputerandInfoScience1610,-0.034637034,0.855812028,30
3794,ComputerandInfoScience3060,ComputerandInfoScience2000,0.396787664,0.020157582,34
3795,ComputerandInfoScience3060,ComputerandInfoScience2010,0.383437907,0.020973775,36
3799,ComputerandInfoScience3060,ComputerandInfoScience2200,0.606253442,0.000490438,29
3808,ComputerandInfoScience3060,ComputerandInfoScience3060,1,0,56
3813,ComputerandInfoScience3060,ComputerandInfoScience3500,0.386617078,0.092203599,20
3815,ComputerandInfoScience3060,ComputerandInfoScience3593,0.447174999,0.021995825,26
3828,ComputerandInfoScience3060,ComputerandInfoScience4615,0.756760819,1.87E-05,24
3829,ComputerandInfoScience3060,ComputerandInfoScience4631,0.660278018,0.000241925,26
3839,ComputerandInfoScience3060,English1102,0.549385317,0.002996394,27
3843,ComputerandInfoScience3060,Philosophy1000,0.374814559,0.04127193,30
